file_name	loc_start	loc_end	collision_type	kind	scope	old_name	new_name
unified.js	160412	160413	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	i	
unified.js	160510	160511	shorthand	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	g	sectorGroup
unified.js	160810	160813	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	deg	degrees
unified.js	160910	160918	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	startAng	startAngle
unified.js	161010	161016	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	endAng	endAngle
unified.js	161210	161214	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	pOut	pathOuter
unified.js	161910	161913	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	pIn	pathInner
unified.js	162610	162616	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	txtAng	textAngle
unified.js	162710	162714	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	rOut	radiusOuter
unified.js	162810	162813	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	rIn	radiusInner
unified.js	162910	162914	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	tOut	textOuter
unified.js	163010	163013	none	local	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0	tIn	textInner
unified.js	161420	161421	none	param	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0  Funconclick	e	event
unified.js	162119	162120	none	param	Global  Global  ClassCoFWidget  Func_initSVGDOM  For0  Funconclick	e	event
unified.js	164921	164922	none	param	Global  Global  ClassCoFWidget  Func_initSVGDOM  Funconmousedown	e	event
unified.js	165022	165023	none	param	Global  Global  ClassCoFWidget  Func_initSVGDOM  Funcontouchstart	e	event
unified.js	165117	165118	none	param	Global  Global  ClassCoFWidget  Func_initSVGDOM  Funconclick	e	event
unified.js	168210	168212	none	param	Global  Global  ClassCoFWidget  Func_mkPath	ns	svgNamespace
unified.js	16839	168310	none	local	Global  Global  ClassCoFWidget  Func_mkPath	p	pathElement
unified.js	16849	168411	none	local	Global  Global  ClassCoFWidget  Func_mkPath	x1	
unified.js	16854	16856	none	local	Global  Global  ClassCoFWidget  Func_mkPath	y1	
unified.js	16869	168611	none	local	Global  Global  ClassCoFWidget  Func_mkPath	x2	
unified.js	16874	16876	none	local	Global  Global  ClassCoFWidget  Func_mkPath	y2	
unified.js	16889	168811	none	local	Global  Global  ClassCoFWidget  Func_mkPath	x3	
unified.js	16894	16896	none	local	Global  Global  ClassCoFWidget  Func_mkPath	y3	
unified.js	16909	169011	none	local	Global  Global  ClassCoFWidget  Func_mkPath	x4	
